id,uuid,domain,name,type,permalink,cb_url,rank,created_at,updated_at,legal_name,roles,homepage_url,country_code,state_code,region,city,address,postal_code,status,short_description,category_list,category_groups_list,num_funding_rounds,total_funding_usd,total_funding,total_funding_currency_code,founded_on,last_funding_on,closed_on,employee_count,email,phone,facebook_url,linkedin_url,twitter_url,logo_url,alias1,alias2,alias3,primary_role,num_exits,revenue_range
21642,25745e2f-8996-6c5a-bd0d-e102463b1276,walmart.com,Walmart,organization,walmart,https://www.crunchbase.com/organization/walmart,6,2009-08-07 01:53:35 UTC,2023-05-30 11:54:09 UTC,Walmart Inc,"investor,company",http://www.walmart.com,USA,AR,Arkansas,Bentonville,702 SW 8th Street,72716,ipo,Walmart is a retail corporation that operates several chains of discount department and warehouse stores.,"E-Commerce,Grocery,Retail,Retail Technology,Shopping","Commerce and Shopping,Food and Beverage,Hardware,Software",1,5000000000,5000000000,USD,1962-01-02,2023-04-15,,10000+,,1-800-438-6278,http://www.facebook.com/walmart,https://www.linkedin.com/company/walmart,http://www.twitter.com/Walmart,https://res.cloudinary.com/crunchbase-production/image/upload/v0jmsmsxr8nqwcrsdvh5,Wal-Mart Stores Inc.,,,company,8,
192734,05554f65-6aa9-4dd1-6271-8ce2d60f10c4,amazon.com,Amazon,organization,amazon,https://www.crunchbase.com/organization/amazon,3,2014-05-20 14:56:44 UTC,2023-06-05 17:27:08 UTC,"Amazon.com, Inc.","investor,company",https://amazon.com,USA,WA,Washington,Seattle,410 Terry Ave N,98109,ipo,"Amazon is an e-commerce website for consumers, sellers, and content creators.","Crowdsourcing,Delivery,E-Commerce,Retail","Administrative Services,Commerce and Shopping,Other",3,8108000000,8108000000,USD,1994-07-05,2023-01-03,,10000+,,(888) 533-5659,https://www.facebook.com/Amazon,https://www.linkedin.com/company/amazon,https://www.twitter.com/amazon,https://res.cloudinary.com/crunchbase-production/image/upload/mwsza2s38epb8olssp3j,Amazon.com,"Amazon.com, Inc.",,company,29,
1609,7063d087-96b8-2cc1-ee88-c221288acc2a,apple.com,Apple,organization,apple,https://www.crunchbase.com/organization/apple,20,2007-12-22 12:28:53 UTC,2023-06-07 07:49:12 UTC,Apple Inc.,"investor,company",http://www.apple.com,USA,CA,California,Cupertino,One Apple Park Way,95014,ipo,"Apple is a corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.","Consumer Electronics,Hardware,Mobile Devices,Operating Systems,Wearables","Consumer Electronics,Hardware,Mobile,Platforms,Software",7,6150230000,6150230000,USD,1976-04-01,2021-04-30,,10000+,,408-996-1010,https://www.facebook.com/apple,http://www.linkedin.com/company/apple,https://www.twitter.com/apple,https://res.cloudinary.com/crunchbase-production/image/upload/s1cihnpc1cnekihotv0e,Apple Computer,,,company,13,
28543,01eb04d7-5502-20f8-e18e-1fc5abd492e8,cvshealth.com,CVS Health,organization,cvs-caremark,https://www.crunchbase.com/organization/cvs-caremark,6895,2009-12-23 18:09:41 UTC,2023-01-10 10:03:01 UTC,CVS Health Corp,"investor,company,school",http://cvshealth.com,USA,RI,Rhode Island,Woonsocket,1 CVS Drive,02895,ipo,CVS Health is a health solutions company that provides an integrated healthcare services to its members.,"Health Care,Medical,Pharmaceutical,Retail,Sales","Commerce and Shopping,Health Care,Sales and Marketing",1,0,0,,1963-01-01,2019-11-25,,10000+,customercare@cvs.com,1(800)746-7287,http://www.facebook.com/CVS,https://www.linkedin.com/company/cvs-health,https://twitter.com/CVSHealth,https://res.cloudinary.com/crunchbase-production/image/upload/npuduzytt0ht4f9byntb,CVS,CVS Caremark,CVS/pharmacy,company,1,
108551,ac475c6d-765f-c03d-c2a6-4515028e74df,unitedhealthgroup.com,UnitedHealth Group,organization,unitedhealth-group,https://www.crunchbase.com/organization/unitedhealth-group,40387,2013-05-20 08:08:45 UTC,2023-06-08 07:26:05 UTC,UnitedHealth Group Inc.,"investor,company",http://www.unitedhealthgroup.com/,USA,MN,Minnesota,Minneapolis,P.O. Box 1459,55440-1459,ipo,"UnitedHealth Group is a healthcare insurance company that offers health technology, health financial, and pharmacy services.","Health Care,Hospital,Medical,Wellness",Health Care,1,0,0,USD,1977-01-01,2021-08-25,,10000+,unitedhealthfoundationinfo@uhg.com,+1 800 328 5979,https://www.facebook.com/unitedhealthgroup/,http://www.linkedin.com/company/unitedhealth-group,https://twitter.com/UnitedHealthGrp,https://res.cloudinary.com/crunchbase-production/image/upload/v1493263412/u6my75hfu98tchokcuvu.png,UHG,,,company,1,
16303,e0da6e2f-eb97-b57a-4f5c-ef737d75e675,exxonmobil.com,ExxonMobil,organization,exxonmobil,https://www.crunchbase.com/organization/exxonmobil,34994,2009-05-05 13:10:19 UTC,2021-09-27 06:42:28 UTC,Exxon Mobil Corporation.,"investor,company",https://corporate.exxonmobil.com,USA,TX,Texas,Irving,5959 Las Colinas Boulevard,75039-2298,ipo,"ExxonMobil is an international oil and gas company, providing energy that helps underpin growing economies.","Chemical,Energy,Oil and Gas","Energy,Natural Resources,Science and Engineering",,,,,1870-01-01,,,10000+,EMrewards@exxonmobil.com,+1 (703) 846-5297,https://www.facebook.com/exxonmobil,http://www.linkedin.com/company/exxonmobil,http://twitter.com/exxonmobil,https://res.cloudinary.com/crunchbase-production/image/upload/v1488040182/zjg7z0bsqj7dzusis8cn.png,,,,company,,
105686,1e4f3a23-1eba-00a1-96f9-ea2f43e74b41,berkshirehathaway.com,Berkshire Hathaway,organization,berkshire-hathaway-corp,https://www.crunchbase.com/organization/berkshire-hathaway-corp,177,2013-05-06 16:35:07 UTC,2023-04-06 12:32:49 UTC,Berkshire Hathaway Inc.,"investor,company",http://www.berkshirehathaway.com,USA,NE,Nebraska,Omaha,3555 Farnam St Suite 1440,68131,ipo,Berkshire Hathaway is a conglomerate holding company.,"Auto Insurance,Insurance,Property Insurance",Financial Services,2,71510000,71510000,USD,1839-01-01,2022-09-27,,10000+,berkshire@berkshirehathaway.com,+1 402 346 1400,https://www.facebook.com/BerkshireHathawayInc,https://www.linkedin.com/company/berkshire-hathaway,https://twitter.com/berkshire,https://res.cloudinary.com/crunchbase-production/image/upload/vsnwi4ppyv3n8p3u9y9o,,,,company,15,
299383,096694c6-bcd2-a975-b95c-fab77c81d915,abc.xyz,Alphabet,organization,alphabet,https://www.crunchbase.com/organization/alphabet,26110,2015-08-10 23:38:20 UTC,2023-07-14 11:33:32 UTC,Alphabet Inc.,"investor,company",https://abc.xyz,USA,CA,California,Mountain View,1600 Amphitheatre Parkway,94043,ipo,"Alphabet is a holding company that provides projects with resources, freedom, and focus to make their ideas happen.","Blogging Platforms,Information Technology,Search Engine,Software,Video Streaming","Content and Publishing,Information Technology,Internet Services,Media and Entertainment,Software,Video",1,0,0,USD,2015-10-02,2023-05-15,,10000+,,(650) 253-0000,https://www.facebook.com/alphabetxyz,https://www.linkedin.com/company/alphabet-inc,https://www.twitter.com/alphabetlnc,https://res.cloudinary.com/crunchbase-production/image/upload/v1439250525/oyr10rqwvctjcfxnvapx.png,,,,company,1,
6710,1c41f4ce-92b4-371f-717b-69f7b8386dd0,mckesson.com,McKesson,organization,mckesson,https://www.crunchbase.com/organization/mckesson,47328,2008-07-24 22:21:40 UTC,2021-04-08 12:23:52 UTC,,"investor,company",http://www.mckesson.com,USA,CA,California,San Francisco,One Post Street,94104,acquired,"McKesson distributes medical supplies, information technology, and care management products and services.","Biotechnology,Health Care,Information Technology","Biotechnology,Health Care,Information Technology,Science and Engineering",,,,,1833-01-01,,,10000+,CorporateMediaRelations@McKesson.com,(415)983-8988,http://www.facebook.com/McKessonCorporation,http://www.linkedin.com/company/mckesson,http://twitter.com/McKesson,https://res.cloudinary.com/crunchbase-production/image/upload/ssywy1g3h5texlf3207y,,,,company,1,
110303,c7783089-41e0-d2d1-2c6b-c5fabeb307ba,amerisourcebergen.com,AmerisourceBergen,organization,amerisourcebergen-corporation,https://www.crunchbase.com/organization/amerisourcebergen-corporation,162,2013-05-26 17:52:26 UTC,2022-11-08 20:18:29 UTC,AmerisourceBergen Corp.,"investor,company",http://www.amerisourcebergen.com,USA,PA,Pennsylvania,Valley Forge,AmerisourceBergen Corporation P.O. Box 959,19482,ipo,AmerisourceBergen is a global healthcare company that advances the development and delivery of pharmaceuticals and healthcare products.,"Emergency Medicine,Enterprise Software,Health Care,Medical,Pharmaceutical","Health Care,Software",3,2525000000,2525000000,USD,1907-01-01,2022-11-07,,10000+,solutions@amerisourcebergen.com,(270) 444-7047,http://www.facebook.com/AmerisourceBergen,http://www.linkedin.com/company/amerisourcebergen,http://twitter.com/Healthcare_ABC,https://res.cloudinary.com/crunchbase-production/image/upload/x9v7kfydvehweczu5u7z,,,,company,1,
